Station;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz
Messkomponente;Stickstoffdioxid;Stickstoffmonoxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte

31.05.2024 14:00;15;9;29
31.05.2024 15:00;18;11;35
31.05.2024 16:00;15;11;33
31.05.2024 17:00;20;9;34
31.05.2024 18:00;14;5;22
31.05.2024 19:00;12;5;21
31.05.2024 20:00;15;5;23
31.05.2024 21:00;17;5;24
31.05.2024 22:00;11;2;15
31.05.2024 23:00;14;4;19
01.06.2024 00:00;15;5;23
01.06.2024 01:00;25;10;41
01.06.2024 02:00;25;12;43
01.06.2024 03:00;20;10;34
01.06.2024 04:00;14;4;21
01.06.2024 05:00;10;4;16
01.06.2024 06:00;10;3;15
01.06.2024 07:00;9;2;13
01.06.2024 08:00;9;3;15
01.06.2024 09:00;8;3;13
01.06.2024 10:00;10;5;18
01.06.2024 11:00;7;3;11
01.06.2024 12:00;8;4;14
01.06.2024 13:00;8;4;14
01.06.2024 14:00;11;5;19
01.06.2024 15:00;13;5;21
01.06.2024 16:00;20;5;28
01.06.2024 17:00;16;8;28
01.06.2024 18:00;10;4;16
01.06.2024 19:00;8;5;16
01.06.2024 20:00;13;4;19
01.06.2024 21:00;9;2;13
01.06.2024 22:00;7;2;10
01.06.2024 23:00;10;3;14
02.06.2024 00:00;15;6;25
02.06.2024 01:00;19;7;30
02.06.2024 02:00;14;7;26
02.06.2024 03:00;8;3;13
02.06.2024 04:00;6;2;8
02.06.2024 05:00;6;3;9
02.06.2024 06:00;5;2;5
02.06.2024 07:00;5;2;6
02.06.2024 08:00;5;2;6
02.06.2024 09:00;4;2;5
02.06.2024 10:00;5;2;6
02.06.2024 11:00;4;2;6
02.06.2024 12:00;4;2;6
02.06.2024 13:00;4;2;6
02.06.2024 14:00;3;2;4
02.06.2024 15:00;5;2;9
02.06.2024 16:00;8;4;15
02.06.2024 17:00;6;2;8
02.06.2024 18:00;4;2;7
02.06.2024 19:00;4;2;6
02.06.2024 20:00;5;2;7
02.06.2024 21:00;6;2;7
02.06.2024 22:00;7;2;8
02.06.2024 23:00;8;2;9
03.06.2024 00:00;6;2;7
03.06.2024 01:00;5;2;6
03.06.2024 02:00;6;2;7
03.06.2024 03:00;5;2;5
03.06.2024 04:00;4;2;4
03.06.2024 05:00;4;2;4
03.06.2024 06:00;5;2;4
03.06.2024 07:00;11;2;13
03.06.2024 08:00;15;4;21
03.06.2024 09:00;14;3;19
03.06.2024 10:00;13;2;15
03.06.2024 11:00;13;2;17
03.06.2024 12:00;12;3;17
03.06.2024 13:00;13;4;18
03.06.2024 14:00;13;3;17
03.06.2024 15:00;14;4;20
03.06.2024 16:00;13;3;18
03.06.2024 17:00;14;4;20
03.06.2024 18:00;14;4;19
03.06.2024 19:00;13;2;15
03.06.2024 20:00;10;2;12
03.06.2024 21:00;10;2;11
03.06.2024 22:00;17;3;22
03.06.2024 23:00;21;4;27
04.06.2024 00:00;24;6;32
04.06.2024 01:00;17;4;24
04.06.2024 02:00;12;3;16
04.06.2024 03:00;7;2;8
04.06.2024 04:00;10;2;13
04.06.2024 05:00;12;2;13
04.06.2024 06:00;11;2;12
04.06.2024 07:00;24;17;51
04.06.2024 08:00;27;8;39
04.06.2024 09:00;25;8;38
04.06.2024 10:00;26;8;39
04.06.2024 11:00;14;5;22
04.06.2024 12:00;11;4;18
04.06.2024 13:00;13;6;22
04.06.2024 14:00;9;3;14
04.06.2024 15:00;14;9;27
04.06.2024 16:00;17;9;31
04.06.2024 17:00;17;8;29
04.06.2024 18:00;17;7;27
04.06.2024 19:00;20;8;32
04.06.2024 20:00;18;9;33
04.06.2024 21:00;23;13;43
04.06.2024 22:00;31;13;51
04.06.2024 23:00;39;22;73
05.06.2024 00:00;41;12;60
05.06.2024 01:00;37;12;55
05.06.2024 02:00;26;12;44
05.06.2024 03:00;19;5;26
05.06.2024 04:00;19;3;23
05.06.2024 05:00;15;2;19
05.06.2024 06:00;17;3;22
05.06.2024 07:00;22;12;40
05.06.2024 08:00;20;10;36
05.06.2024 09:00;17;6;27
05.06.2024 10:00;14;5;21
05.06.2024 11:00;14;6;24
05.06.2024 12:00;10;4;16
05.06.2024 13:00;12;9;26
05.06.2024 14:00;11;4;18
05.06.2024 15:00;13;5;20
05.06.2024 16:00;11;7;21
05.06.2024 17:00;10;6;20
05.06.2024 18:00;13;6;22
05.06.2024 19:00;20;10;34
05.06.2024 20:00;21;12;39
05.06.2024 21:00;11;2;14
05.06.2024 22:00;11;3;16
05.06.2024 23:00;14;4;20
06.06.2024 00:00;12;3;17
06.06.2024 01:00;9;2;13
06.06.2024 02:00;10;2;13
06.06.2024 03:00;7;2;10
